taxon          	nloci	f1loci	f2loci	nsites	npoly	poly
Pr_SCA_10-3.fq.gz	183442	28744	24838	2258984	9334	0.0041319
Pr_Legacy_13-2.fq.gz	196928	4546	2800	254478	3750	0.014736
Pr_SCA_01.fq.gz	190469	4906	3148	286221	4025	0.0140626
Pr_SRI_21-4.fq.gz	162455	39775	35072	3191145	9651	0.0030243
Pr_SCI_14.fq.gz	159389	46797	42184	3838154	12001	0.0031268
Pr_SCI_23.fq.gz	153257	42121	37494	3411296	10964	0.003214
Pr_SCI_20.fq.gz	146886	50556	46024	4187696	12589	0.0030062
Pr_SCA_08-3.fq.gz	167447	22615	19155	1742373	7495	0.0043016
Pr_SCI_31.fq.gz	148471	34482	30275	2754350	9787	0.0035533
Pr_SCI_11.fq.gz	147077	47920	43408	3949618	11666	0.0029537
Pr_SCA_28-4.fq.gz	157449	27186	23304	2119931	8782	0.0041426
Pr_SCI_38.fq.gz	150036	29054	25156	2288467	8820	0.0038541
Pr_SCI_35.fq.gz	149235	25836	22017	2002899	8638	0.0043127
Pr_SCI_24.fq.gz	146886	41615	37353	3398499	10976	0.0032297
Pr_SCI_19.fq.gz	144698	38217	34126	3104973	10275	0.0033092
Pr_SCI_30.fq.gz	142651	38331	34182	3109896	10164	0.0032683
Pr_SCI_37.fq.gz	144643	27600	23749	2160396	8700	0.004027
Pr_SCA_06-3.fq.gz	166556	2847	1569	142609	2859	0.0200478
Pr_SCI_02.fq.gz	144271	38128	34074	3100273	9997	0.0032246
Pr_SRI_31-4.fq.gz	149842	17020	13690	1245406	5816	0.00467
Pr_SCI_07.fq.gz	139777	39424	35343	3215740	10232	0.0031818
Pr_Legacy_01.fq.gz	143575	14695	11690	1063073	8556	0.0080484
Pr_SCI_17.fq.gz	137271	29972	26393	2401289	8704	0.0036247
Pr_SCI_26.fq.gz	139796	31129	27365	2489627	8675	0.0034845
Pr_SCA_04-3.fq.gz	154138	10396	7996	727264	4688	0.0064461
Pr_SCI_41.fq.gz	140405	18964	15739	1431691	6709	0.0046861
Pr_SCI_25.fq.gz	137302	26654	23156	2106555	7709	0.0036595
Pr_SRI_32-4.fq.gz	144625	17221	13954	1269398	6029	0.0047495
Pr_SCA_26-4.fq.gz	147814	12312	9539	867675	5263	0.0060656
Pr_SCI_22.fq.gz	137672	19137	15922	1448290	6460	0.0044604
Pr_SCI_09.fq.gz	135280	31166	27574	2508763	8552	0.0034089
Pr_Legacy_07-2.fq.gz	151380	3947	2448	222501	3361	0.0151056
Pr_SRI_03-PE_purged-1.fq_1.gz	94428	1445	769	108188	1077	0.0099549
Pr_SRI_30-4.fq.gz	140323	14809	11854	1078268	5412	0.0050192
Pr_SRI_22-4.fq.gz	139286	15919	12867	1170489	5400	0.0046135
Pr_SRI_26-4.fq.gz	140109	14901	11916	1084004	5273	0.0048644
Pr_SCI_29.fq.gz	131519	27341	23922	2176194	7745	0.003559
Pr_SRI_11.fq.gz	137060	13953	11068	1006741	5300	0.0052645
Pr_SRI_23-4.fq.gz	138757	14548	11661	1060847	5314	0.0050092
Pr_Legacy_06-2.fq.gz	148924	2622	1488	135258	2680	0.019814
Pr_SCA_25-4.fq.gz	142683	7479	5391	490175	3870	0.0078951
Pr_Legacy_19-2.fq.gz	143801	3851	2376	216023	3210	0.0148595
Pr_SCI_18.fq.gz	131373	21257	18083	1645097	7004	0.0042575
Pr_SCI_27.fq.gz	129985	22365	19297	1755605	6961	0.003965
Pr_Legacy_18-2.fq.gz	144464	2275	1321	120064	2323	0.019348
Pr_SCI_16.fq.gz	130673	25251	21928	1994985	7418	0.0037183
Pr_SRI_35-4.fq.gz	135177	12776	10090	917754	4953	0.0053969
Pr_SRI_27-4.fq.gz	135350	10812	8226	748283	4642	0.0062035
Pr_SRI_34-4.fq.gz	133527	11348	8794	799694	4585	0.0057334
Pr_SCI_10.fq.gz	125551	22481	19370	1762326	6585	0.0037365
Pr_Legacy_05-2.fq.gz	139172	2386	1345	122254	2496	0.0204165
Pr_SCI_40.fq.gz	125480	16362	13560	1233495	5891	0.0047759
Pr_SRI_37-4.fq.gz	131927	9536	7096	645349	4271	0.0066181
Pr_SCI_28.fq.gz	123478	15167	12376	1125772	5442	0.004834
Pr_SCA_21-4.fq.gz	128576	12752	10186	926560	5143	0.0055506
Pr_Legacy_09-2.fq.gz	131566	3708	2338	212480	3034	0.014279
Pr_SRI_24-4.fq.gz	127823	13934	11235	1022086	4757	0.0046542
Pr_SRI_28-4.fq.gz	126141	10387	7950	723193	4276	0.0059127
Pr_SRI_29-4.fq.gz	124455	9800	7424	675219	4185	0.006198
Pr_Legacy_08-2.fq.gz	127353	4861	3323	302102	3580	0.0118503
Pr_SCI_13.fq.gz	119944	14172	11696	1063980	4869	0.0045762
Pr_SRI_36-4.fq.gz	123529	8677	6460	587494	3943	0.0067116
Pr_SRI_12.fq.gz	119221	5655	3882	352988	3477	0.0098502
Pr_SCA_24-4.fq.gz	120531	8001	5978	543752	3967	0.0072956
Pr_SRI_07.fq.gz	118489	5718	3894	354108	3213	0.0090735
Pr_SCA_22-4.fq.gz	119164	4806	3201	291076	3027	0.0103993
Pr_SCI_33.fq.gz	113587	11295	8941	813192	4346	0.0053444
Pr_Legacy_16-2.fq.gz	119666	3247	1988	180692	2628	0.0145441
Pr_SRI_38-4.fq.gz	115053	5891	4063	369453	3156	0.0085424
Pr_SCI_39.fq.gz	108979	10573	8485	771825	4230	0.0054805
Pr_SCI_12.fq.gz	105667	12009	9835	894765	4238	0.0047364
Pr_SRI_40-4.fq.gz	109846	5140	3529	320907	3057	0.0095261
Pr_SCI_08.fq.gz	106659	10411	8405	764534	4057	0.0053065
Pr_SRI_06.fq.gz	109462	5280	3578	325382	2864	0.008802
Pr_SRI_39-4.fq.gz	107537	5052	3392	308480	3079	0.0099812
Pr_SRI_18-2.fq.gz	107278	13981	11527	1048638	4222	0.0040262
Pr_Legacy_12-2.fq.gz	105010	4127	2770	251833	3038	0.0120636
Pr_SCA_23-4.fq.gz	103555	3620	2249	204471	2489	0.0121729
Pr_SRI_16-2.fq.gz	103237	3650	2300	209078	2431	0.0116272
Pr_SRI_14-2.fq.gz	102167	4004	2604	236821	2535	0.0107043
Pr_Legacy_10-2.fq.gz	99055	2594	1584	143976	2109	0.0146483
Pr_SCA_14-3.fq.gz	96820	1557	873	79385	1760	0.0221704
Pr_Legacy_03-2.fq.gz	98302	2416	1458	132513	2039	0.0153872
Pr_SCI_34.fq.gz	94296	4729	3287	298887	2624	0.0087792
Pr_SRI_10.fq.gz	96490	3826	2520	229103	2315	0.0101046
Pr_SRI_25-4.fq.gz	95082	2931	1809	164491	2292	0.0139339
Pr_SCI_15.fq.gz	91609	5931	4520	411131	2805	0.0068226
Pr_SRI_33-4.fq.gz	89766	3096	1925	174999	2228	0.0127315
Pr_SRI_19-2.fq.gz	93831	6844	5330	484866	3048	0.0062863
Pr_Legacy_14-2.fq.gz	89666	2382	1489	135382	1829	0.0135099
Pr_SRI_15-2.fq.gz	88746	3072	1915	174109	1975	0.0113435
Pr_SRI_08.fq.gz	85027	2158	1287	116973	1686	0.0144136
Pr_SCI_21-3.fq.gz	69841	2976	1996	181522	1714	0.0094424
Pr_SCA_13-3.fq.gz	70747	2095	1346	122422	1489	0.0121628
Pr_Legacy_04-2.fq.gz	69869	1115	614	55829	1024	0.0183417
Pr_SCI_36.fq.gz	67244	2296	1445	131388	1545	0.0117591
Pr_SRI_17-2.fq.gz	62688	3386	2440	221922	1706	0.0076874
Pr_SRI_20-2.fq.gz	61923	2910	2015	183243	1477	0.0080603
Pr_SCA_16-3.fq.gz	60748	944	554	50352	1045	0.0207539
Pr_SRI_13-2.fq.gz	58440	948	497	45145	994	0.0220179
Pr_SRI_09.fq.gz	46120	622	332	30190	672	0.022259
Pr_SRI_01.fq.gz	8597	61	39	3543	68	0.0191928
Pr_SCA_11-3.fq.gz	32891	446	238	21604	446	0.0206443

    ## nloci = number of loci
    ## f1loci = number of loci with >N depth coverage
    ## f2loci = number of loci with >N depth and passed paralog filter
    ## nsites = number of sites across f loci
    ## npoly = number of polymorphic sites in nsites
    ## poly = frequency of polymorphic sites
