taxon          	nloci	f1loci	f2loci	nsites	npoly	poly
Xr_SNI_16.fq.gz	196305	59220	56960	5182754	6450	0.0012445
Xr_SNI_25.fq.gz	210008	22445	20934	1904353	3832	0.0020122
Xr_SCL_14.fq.gz	189721	40094	38269	3481735	6789	0.0019499
Xr_SBI_31-4.fq.gz	242043	13659	12063	1096974	3256	0.0029682
Xr_SCL_10.fq.gz	146177	52738	50576	4601383	9408	0.0020446
Xr_SNI_44-5.fq.gz	227969	35959	34105	3102844	4338	0.0013981
Xr_SCL_22.fq.gz	153672	50058	48073	4373991	8357	0.0019106
Xr_SCL_23.fq.gz	152603	51533	49421	4496679	8376	0.0018627
Xr_SCL_16.fq.gz	211670	6219	5170	470264	2186	0.0046485
Xr_SNI_06.fq.gz	180164	37217	35367	3217638	5816	0.0018075
Xr_SCL_08.fq.gz	174174	42167	40073	3645956	6541	0.001794
Xr_SBI_12-2.fq.gz	216568	15243	13323	1210833	4828	0.0039873
Xr_SCL_18.fq.gz	161224	39999	38064	3462933	6935	0.0020026
Xr_SNI_21.fq.gz	159816	28401	26751	2433359	4741	0.0019483
Xr_SNI_45-5.fq.gz	193473	46835	44979	4092896	4342	0.0010609
Xv_JTS_26-2.fq.gz	206375	17302	15419	1401163	6640	0.0047389
Xr_SCL_28-PE_purged.fq_1.gz	122569	31431	30083	4241118	6318	0.0014897
Xr_SNI_09.fq.gz	156502	55161	52700	4795032	8391	0.0017499
Xr_SBI_11-2.fq.gz	207633	7086	5691	517298	2712	0.0052426
Xr_SNI_48-5.fq.gz	205522	8940	7810	710426	1989	0.0027997
Xr_SCL_27-PE_purged.fq_1.gz	127268	25251	23908	3369632	5172	0.0015349
Xv_JTS_22-2.fq.gz	165690	41470	38732	3520714	15660	0.004448
Xr_SNI_24.fq.gz	168622	22563	21208	1929434	3503	0.0018156
Xr_SBI_02b-2.fq.gz	192083	6258	4950	449875	2222	0.0049391
Xr_SBI_08-2.fq.gz	190845	3743	2654	241237	1826	0.0075693
Xr_SCL_15-1.fq.gz	155467	15476	14271	1297747	3654	0.0028156
Xr_SBI_20-2.fq.gz	177062	7069	5689	517237	2673	0.0051678
Xr_SCL_05-1.fq.gz	126878	24986	23581	2144548	5282	0.002463
Xr_SNI_20.fq.gz	137904	30285	28926	2631839	3820	0.0014515
Xr_SNI_13.fq.gz	119809	44971	43208	3931293	7686	0.0019551
Xr_SBI_07-2.fq.gz	171583	6555	5267	478810	2611	0.0054531
Xr_SBI_19-2.fq.gz	159602	8482	7174	652276	2834	0.0043448
Xr_SBI_09-2.fq.gz	162589	4768	3689	335408	1851	0.0055187
Xv_JTS_10-2.fq.gz	147019	17294	15940	1449087	6036	0.0041654
Xv_JTS_20-2.fq.gz	145591	21891	20302	1845572	6895	0.003736
Xr_SBI_22-2.fq.gz	159125	4057	3088	280801	1609	0.00573
Xr_SBI_17-2.fq.gz	156111	5231	4292	390300	1869	0.0047886
Xr_SCL_39-5.fq.gz	142869	21010	19655	1788261	3655	0.0020439
Xv_JTS_21-2.fq.gz	151042	3970	3052	277404	1874	0.0067555
Xr_SNI_04.fq.gz	114276	25670	24424	2222107	4011	0.001805
Xr_SCL_34-5.fq.gz	113970	63728	61641	5609435	9033	0.0016103
Xr_SNI_23.fq.gz	112825	26720	25484	2318649	3144	0.001356
Xr_SCL_02b-2.fq.gz	136768	13679	12379	1125842	3382	0.003004
Xr_SNI_22.fq.gz	104596	29568	28410	2584825	3459	0.0013382
Xr_SBI_15-2.fq.gz	144064	3372	2594	235900	1269	0.0053794
Xv_JTS_17-2.fq.gz	131183	15696	14482	1316779	4950	0.0037592
Xv_JTS_18-2.fq.gz	132149	15003	13752	1250315	4932	0.0039446
Xv_JTS_12-2.fq.gz	135993	4189	3376	306950	1922	0.0062616
Xv_JTS_24-2.fq.gz	128067	8501	7490	680831	3287	0.0048279
Xr_SCL_30-5.fq.gz	130675	4456	3596	327085	1559	0.0047663
Xr_SBI_13-2.fq.gz	128888	3841	3006	273340	1547	0.0056596
Xr_SBI_23-2.fq.gz	128332	4610	3823	347696	1489	0.0042825
Xr_SBI_24-2.fq.gz	124576	3165	2443	222152	1326	0.0059689
Xr_SBI_16-2.fq.gz	121121	5271	4454	405062	1521	0.003755
Xv_JTS_19-2.fq.gz	108528	13463	12376	1125324	4100	0.0036434
Xv_JTS_13-2.fq.gz	117685	3274	2614	237602	1493	0.0062836
Xv_JTS_25-2.fq.gz	118547	2723	2066	187879	1199	0.0063818
Xr_SBI_18-2.fq.gz	114227	4434	3707	337156	1344	0.0039863
Xr_SCL_33-5.fq.gz	102043	57666	55791	5076981	7927	0.0015614
Xv_JTS_08-2.fq.gz	112128	6478	5721	520096	2239	0.004305
Xv_JTS_16-2.fq.gz	108999	6036	5264	478657	2147	0.0044855
Xr_SBI_21-2.fq.gz	110231	4192	3538	321759	1315	0.0040869
Xr_SBI_14-2.fq.gz	111797	1846	1271	115561	858	0.0074247
Xv_JTS_09-2.fq.gz	107721	4357	3705	336876	1666	0.0049454
Xv_JTS_06-2.fq.gz	106853	3438	2824	256729	1455	0.0056675
Xr_SCL_42-5.fq.gz	102643	5571	4805	437118	1439	0.003292
Xr_SBI_45-5.fq.gz	106797	848	476	43248	717	0.0165788
Xv_JTS_05-2.fq.gz	99826	2876	2257	205236	1184	0.005769
Xv_JTS_11-2.fq.gz	98727	1799	1287	117020	879	0.0075115
Xr_SBI_25-2.fq.gz	97609	2507	2002	182045	1037	0.0056964
Xr_SBI_05-2.fq.gz	97061	1415	973	88438	770	0.0087067
Xr_SBI_06-2.fq.gz	95804	1733	1210	109997	840	0.0076366
Xr_SCL_37-5.fq.gz	95636	18259	17293	1573399	2832	0.0017999
Xr_SCL_31-5.fq.gz	93073	3685	3029	275510	1252	0.0045443
Xv_JTS_14-2.fq.gz	89334	3918	3437	312501	1565	0.005008
Xr_SBI_10-2.fq.gz	80539	1772	1375	125002	864	0.0069119
Xr_SCL_40-5.fq.gz	75454	3862	3333	303202	1044	0.0034432
Xr_SCL_03.fq.gz	83568	12729	11856	1078412	3006	0.0027874
Xv_JTS_15-2.fq.gz	63420	4033	3601	327472	1372	0.0041897
Xr_SCL_41-5.fq.gz	61409	3794	3351	304858	1055	0.0034606
Xv_JTS_23-2.fq.gz	50666	1483	1244	113103	694	0.006136
Xr_SCL_35-5.fq.gz	61120	2260	1859	169092	892	0.0052752
Xr_SCL_32-5.fq.gz	43189	694	474	43104	425	0.0098599
Xr_SBI_40-5.fq.gz	37648	483	282	25651	332	0.012943
Xr_SBI_36-5.fq.gz	33438	337	203	18452	266	0.0144158
Xv_JTS_07-2.fq.gz	31691	427	291	26476	220	0.0083094

    ## nloci = number of loci
    ## f1loci = number of loci with >N depth coverage
    ## f2loci = number of loci with >N depth and passed paralog filter
    ## nsites = number of sites across f loci
    ## npoly = number of polymorphic sites in nsites
    ## poly = frequency of polymorphic sites
